               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.036174,            0.016304,           0.0052234,             0.88146,             0.93812,             0.95694,             0.56865,            0.023886,           0.0081969,           0.0086112,           0.0037192,           0.0037192,            0.054819
                  70,            0.034244,            0.014822,           0.0044947,              0.8798,             0.87379,             0.92628,             0.59572,            0.024287,           0.0084936,           0.0044877,           0.0037413,           0.0037413,            0.054141
                  71,            0.036998,            0.015078,           0.0044345,             0.96766,             0.94066,             0.96909,             0.62659,            0.024851,           0.0086342,           0.0027448,           0.0037623,           0.0037623,            0.053462
                  72,            0.035666,            0.015695,            0.003905,             0.92504,              0.9254,             0.95434,             0.62575,            0.023342,           0.0077495,           0.0066119,           0.0037822,           0.0037822,            0.052782
                  73,            0.035383,            0.015233,           0.0041567,             0.89426,             0.94005,             0.95488,             0.59317,            0.027123,           0.0076212,           0.0046768,           0.0038009,           0.0038009,            0.052101
                  74,             0.03624,            0.015356,           0.0040374,             0.97445,             0.91338,              0.9624,             0.66942,            0.023746,           0.0074994,           0.0027574,           0.0038185,           0.0038185,            0.051418
                  75,            0.036738,            0.015855,           0.0038595,             0.91379,             0.87114,             0.93881,             0.57825,            0.025231,           0.0083261,           0.0098455,           0.0038349,           0.0038349,            0.050735
                  76,            0.035013,            0.014622,           0.0036426,             0.92644,             0.90815,             0.95983,             0.63382,            0.023167,           0.0072542,           0.0043536,           0.0038502,           0.0038502,             0.05005
                  77,            0.032782,            0.014596,           0.0035588,             0.97259,             0.94525,             0.97281,             0.69238,            0.022322,           0.0070155,            0.002291,           0.0038644,           0.0038644,            0.049364
                  78,            0.034112,            0.015084,           0.0037751,             0.96314,             0.88477,             0.95171,             0.62796,            0.023196,           0.0075498,           0.0028288,           0.0038774,           0.0038774,            0.048677
                  79,            0.032286,            0.015265,           0.0035676,             0.93488,             0.93531,             0.95701,              0.6534,            0.022784,           0.0079074,           0.0098835,           0.0038893,           0.0038893,            0.047989
